year,min,mean,max,scenario
1981,8.693481,17.133545,26.236206,historical
1982,8.028961,15.816101,24.520905,historical
1983,9.089508,15.88208,23.35614,historical
1984,7.370056,16.487854,25.670685,historical
1985,7.781769,16.809753,25.746643,historical
1986,8.634094,17.091217,24.665375,historical
1987,8.862305,16.433289,26.3143,historical
1988,8.176788,15.642517,23.849365,historical
1989,8.093445,16.450928,25.12082,historical
1990,9.106293,16.496918,23.206268,historical
1991,9.118286,15.8533325,24.519043,historical
1992,8.628693,14.774109,23.865631,historical
1993,8.847595,14.935486,23.884857,historical
1994,8.355804,16.560669,25.470398,historical
1995,9.084198,15.57663,24.083344,historical
1996,9.536346,16.79068,24.548035,historical
1997,10.566467,17.437347,25.274506,historical
1998,7.8022156,15.908203,25.667358,historical
1999,7.8043213,16.430267,26.835052,historical
2000,8.6188965,16.509033,24.417542,historical
2001,10.014862,17.086487,25.93457,historical
2002,7.4773865,16.534668,25.71225,historical
2003,9.55481,17.645508,27.078094,historical
2004,10.469147,17.064514,25.254425,historical
2005,9.138275,16.785278,25.811127,historical
2006,9.792847,17.031952,25.58368,historical
2007,9.789673,16.633179,24.85968,historical
2008,8.458221,17.29181,25.62741,historical
2009,9.092468,17.513306,25.929016,historical
2010,9.536652,16.561768,24.432434,historical
2011,9.871918,16.582703,25.438019,historical
2012,7.262726,16.366669,28.300873,historical
2013,8.15625,17.081757,26.590973,historical
2014,10.519989,17.421814,26.83081,historical
2015,9.090088,16.287903,26.124542,SSP2-4.5
2016,8.17627,16.982239,25.96103,SSP2-4.5
2017,10.755615,18.144104,26.307922,SSP2-4.5
2018,8.783234,17.704437,26.8396,SSP2-4.5
2019,8.6996765,17.702484,27.251099,SSP2-4.5
2020,8.440674,17.670074,26.533234,SSP2-4.5
2021,10.2561035,18.235718,27.169525,SSP2-4.5
2022,10.2344055,17.350098,24.2742,SSP2-4.5
2023,10.289154,17.88684,27.177216,SSP2-4.5
2024,8.426605,16.961243,27.618439,SSP2-4.5
2025,10.831024,18.834717,29.076416,SSP2-4.5
2026,8.853546,17.614044,27.14679,SSP2-4.5
2027,10.342468,18.150513,25.899841,SSP2-4.5
2028,9.464325,17.442108,26.42273,SSP2-4.5
2029,10.716003,18.006226,27.453278,SSP2-4.5
2030,10.759186,18.079773,26.317688,SSP2-4.5
2031,8.427277,17.049133,24.634796,SSP2-4.5
2032,10.098206,18.338226,28.410614,SSP2-4.5
2033,8.235962,16.840118,28.098358,SSP2-4.5
2034,9.376556,17.60315,25.620453,SSP2-4.5
2035,11.173706,18.133484,26.890137,SSP2-4.5
2036,9.165283,18.04895,29.079407,SSP2-4.5
2037,8.73999,18.019012,26.449982,SSP2-4.5
2038,9.891663,17.643677,26.24759,SSP2-4.5
2039,10.796143,18.471283,28.177887,SSP2-4.5
2040,10.36319,17.850067,29.36499,SSP2-4.5
2041,10.085083,18.376343,27.062653,SSP2-4.5
2042,12.578522,18.986755,26.243164,SSP2-4.5
2043,11.076202,18.097198,28.161316,SSP2-4.5
2044,11.492432,18.833649,28.130676,SSP2-4.5
2045,10.4869995,19.779175,29.493286,SSP2-4.5
2046,9.456848,17.493164,26.243713,SSP2-4.5
2047,8.8949585,17.42157,26.668732,SSP2-4.5
2048,11.8573,18.79834,28.0961,SSP2-4.5
2049,12.346832,17.576721,25.657288,SSP2-4.5
2050,12.106812,18.720215,25.848328,SSP2-4.5
2051,11.064484,19.342163,27.529785,SSP2-4.5
2052,11.700806,17.866669,26.168793,SSP2-4.5
2053,7.5650635,18.722717,26.940582,SSP2-4.5
2054,12.925446,19.102722,26.197876,SSP2-4.5
2055,11.1026,18.111023,26.158936,SSP2-4.5
2056,10.254242,18.969757,27.824554,SSP2-4.5
2057,9.38916,17.648865,26.01529,SSP2-4.5
2058,11.566162,19.257019,28.683563,SSP2-4.5
2059,9.269196,19.675293,28.94217,SSP2-4.5
2060,9.642242,18.161072,26.45282,SSP2-4.5
2061,10.741211,17.923248,27.461212,SSP2-4.5
2062,11.766388,18.62857,28.463348,SSP2-4.5
2063,11.882446,19.046722,28.982483,SSP2-4.5
2064,11.54953,18.039917,25.944214,SSP2-4.5
2065,11.204224,18.89569,28.37973,SSP2-4.5
2066,11.299103,19.288147,31.37207,SSP2-4.5
2067,10.565155,18.687561,28.457733,SSP2-4.5
2068,10.736938,18.407074,26.350128,SSP2-4.5
2069,9.749878,18.898102,28.11499,SSP2-4.5
2070,10.804077,19.086884,29.455933,SSP2-4.5
2071,9.992126,18.678131,26.769836,SSP2-4.5
2072,11.208405,18.389282,27.29309,SSP2-4.5
2073,10.362396,18.288086,28.215881,SSP2-4.5
2074,12.326294,18.668976,28.214508,SSP2-4.5
2075,10.675537,18.46112,25.623962,SSP2-4.5
2076,13.496826,19.364716,28.357147,SSP2-4.5
2077,11.338348,18.535187,27.877563,SSP2-4.5
2078,10.379425,18.29712,27.718964,SSP2-4.5
2079,9.210419,18.335205,27.026398,SSP2-4.5
2080,10.447723,19.026367,27.056396,SSP2-4.5
2081,11.557617,19.954834,28.876068,SSP2-4.5
2082,11.596985,19.042694,27.062134,SSP2-4.5
2083,11.924957,19.516815,29.141571,SSP2-4.5
2084,10.522125,18.62262,26.517426,SSP2-4.5
2085,10.004242,18.60965,27.41632,SSP2-4.5
2086,11.133789,19.665771,31.278229,SSP2-4.5
2087,9.96283,19.151184,27.629456,SSP2-4.5
2088,10.150024,18.703674,27.778168,SSP2-4.5
2089,11.488831,19.139862,27.98053,SSP2-4.5
2090,11.829102,18.762726,26.243225,SSP2-4.5
2091,12.183929,19.661346,29.560455,SSP2-4.5
2092,11.729065,19.102722,29.270477,SSP2-4.5
2093,11.415436,20.002533,30.078339,SSP2-4.5
2094,11.668793,19.367249,28.517944,SSP2-4.5
